Genre,Extraversion,Openness to Experience,Conscientiousness,Self-Esteem,Neuroticism,Introversion,Agreeableness,Low Self-Esteem,Gentle,Assertive,Emotionally Stable,Intellectual,At Ease
Pop,0.8,,,,,,0.7,,,,,,
Indian Pop,,0.8,0.7,,,,,,,,,,
Pop-Film,,0.8,,,,,0.6,,,,,,
Singer-Songwriter,,0.9,,,,0.7,,,,,,,
Chill Pop,,,,,,0.8,,,,,,,0.8
Indie,,0.9,,,,,,,,,,0.8,
Folk,,,,,,,0.8,,0.8,,,,
Sad,,,,,0.9,0.8,,,,,,,
Dance,0.9,,,,,,,,,0.8,,,
Rock,0.8,,,,,,,,,0.7,,,
Hip-Hop,0.9,,,,,,,,,,,,
Show-Tunes,0.7,,,,,,0.7,,,,,,
Emo,,,,,0.9,0.8,,,,,,,
Soul,,,,,,,0.8,,0.9,,,,
Acoustic,,,,,,,,,0.8,,0.8,,
Garage,,0.8,,,,,,,,0.7,,,
K-Pop,0.8,,0.7,,,,,,,,,,
French Pop,,0.7,,,,,,,0.7,,,,
Electro Pop,0.8,,,,,,,,,,0.6,,
Latin Pop,0.8,,,,,,0.7,,,,,,
New Wave Pop,,0.8,,,,,,,,,0.7,,
Indonesian Pop,,0.7,,,,,0.6,,,,,,
J-Pop,0.7,,0.7,,,,,,,,,,
Italian Pop,,0.8,,,,,,,0.7,,,,
Spanish Pop,0.8,,,,,,0.7,,,,,,
Synthpop,,0.8,,,,,,,,,0.7,,
Dance Pop,0.9,,,0.8,,,,,,,,,
Lo-Fi,,,,,,0.9,,,,,,,0.9
EDM,0.9,0.8,,,,,,,,,,,
House,0.8,,,,,,,,,,,,
Chill House,,,,,,0.8,,,,,,,0.8
Tropical House,0.8,,,,,,,,,,,,0.9
Hip-Hop Pop,0.9,,,,,,,,,0.8,,,
Rap,0.9,,,,,,,,,,,,
Trap,0.9,,,,,,,,,0.9,,,
Cloud Rap,,0.8,,,,0.8,,,,,,,
Viral Rap,0.9,,,,,,,,,,,,
Indietronica,,0.9,,,,0.8,,,,,,,
Art Pop,,0.9,,,,,,,,,,0.8,
Classical,,,,,,,,,0.8,,,0.9,
Piano,,,,,,,,,0.8,,0.8,,
New Age,,,,,,,,,0.9,,,,0.9
Ambient,,,,,,0.9,,,,,,,0.9
Guitar,,,,,,,,,0.8,,0.8,,
Indian,,0.7,,,,,0.7,,,,,,
Songwriter,,0.6,,,,,0.7,,,,,,
Indie-Pop,,0.8,,,0.7,,,,,,,,
Electro,0.6,0.8,,,,,,,,,,,
Electronic,0.6,0.8,,,,,,,,,,,
New-Age,,0,,,,,,,0.8,,0.7,,0.9
